,version,xAvgCharWidth,usWeightClass,usWidthClass,ySubscriptXSize,ySubscriptYSize,ySubscriptXOffset,ySubscriptYOffset,ySuperscriptXSize,ySuperscriptYSize,ySuperscriptXOffset,ySuperscriptYOffset,yStrikeoutSize,yStrikeoutPosition,ulUnicodeRange1,ulUnicodeRange2,ulUnicodeRange3,ulUnicodeRange4,achVendID,fsSelection,usFirstCharIndex,usLastCharIndex,sTypoAscender,sTypoDescender,sTypoLineGap,usWinAscent,usWinDescent,ulCodePageRange1,ulCodePageRange2,bFamilyType,bSerifStyle,bWeight,bProportion,bContrast,bStrokeVariation,bArmStyle,bLetterForm,bMidline,bXHeight,font
0,1,904,400,5,1434,1331,0,283,1434,1331,0,977,102,530,00000000 00000000 01111010 10000111,10000000 00000000 00000000 00000000,00000000 00000000 00000000 00001000,00000000 00000000 00000000 00000000,Mono,00000000 01000000,13,64258,1638,-410,0,2060,705,01000000 00000000 00000001 11111111,11111111 11111111 00000000 00000000,2,11,6,4,2,2,2,2,2,4,arial
0,2,485,300,5,700,650,0,140,700,650,0,477,50,250,10100000 00000000 00000000 10101111,01010000 00000000 00100000 01011010,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,ITC ,00000000 00000000,32,64260,740,-260,200,955,222,00100000 00000000 00000001 10011011,01001101 00000000 00000000 00000000,2,0,5,3,3,0,0,2,0,4,avantgarde
0,3,591,400,5,700,650,0,140,700,650,0,477,50,250,10000000 00000000 00000000 00101111,01010000 00000000 00100000 01001010,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,LINO,00000000 00000000,13,65096,1000,-366,0,1000,366,00000000 00000000 00000000 10011011,00000000 00000000 00000000 00000000,2,11,5,3,2,2,2,2,2,4,avenir_next
0,3,1080,400,5,1433,1331,0,286,1433,1331,0,976,134,512,11100000 00000000 00000010 11111111,01000000 00000000 10101100 11111111,00000000 00000000 00000000 00000001,00000000 00000000 00000000 00000000,MONO,00000000 01000000,13,65279,1536,-512,452,1950,550,00100000 00000000 00000001 10011111,00000000 00000000 00000000 00000000,2,15,5,2,2,2,4,3,2,4,calibri
0,3,921,500,5,1331,1229,0,154,1331,1229,0,717,209,604,00100000 00000000 00000010 10000111,00000000 00000000 00000000 00000001,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,URW ,00000000 00000000,32,64260,1366,-682,0,2154,552,00100000 00000000 00000001 10011111,00000000 00000000 00000000 00000000,0,0,6,0,0,0,0,0,0,0,franklin_gothic
0,4,992,400,5,1331,1229,0,154,1331,1229,0,717,102,492,11100000 00000000 00000010 11111111,00000010 00000000 00000100 00010011,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,PfEd,00000000 11000000,13,64260,1638,-410,0,2421,1273,00100000 00000000 00000001 10011111,00000000 00000000 00000000 00000000,0,0,5,0,0,0,0,0,0,0,garamond
0,3,527,400,5,650,600,0,75,650,600,0,350,50,310,00000000 00000000 00000000 00000011,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,ADBE,00000000 01000000,32,64258,714,-286,200,952,214,00100000 00000000 00000000 00000001,00000000 00000000 00000000 00000000,2,11,6,4,2,2,2,2,2,4,helvetica
0,3,1076,400,5,1434,1331,0,287,1434,1331,0,977,91,563,11100001 00000000 00000010 11111111,01010000 00000000 11101100 11111111,00000000 00000000 00000000 00100001,00000000 00000000 00000000 00000000,tyPL,00000000 01000000,32,64260,1649,-399,0,2209,590,00100000 00000000 00000001 10011111,00000000 00000000 00000000 00000000,2,15,5,2,2,2,4,3,2,3,lato
0,4,1172,400,5,1331,1229,0,154,1331,1229,0,717,102,645,00100000 00000000 00000010 00001111,00000000 00000000 00000000 00000011,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,ULA ,00000000 11000000,13,64258,1638,-410,0,2134,577,00100000 00000000 00000001 10010111,00000000 00000000 00000000 00000000,0,0,5,0,0,0,0,0,0,0,montserrat
0,4,1091,400,5,1331,1229,0,154,1331,1229,0,717,102,659,11100000 00000000 00000010 11111111,01000000 00000000 00000000 00011111,00001000 00000000 00000000 00101001,00000000 00010000 00000000 00000000,GOOG,00000001 01000000,13,64260,1638,-410,0,2185,837,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,2,11,5,2,4,5,4,2,2,4,noto_sans
0,3,1093,400,5,1434,1331,0,287,1434,1331,0,977,102,497,11100000 00000000 00000010 11101111,01000000 00000000 00100000 01011011,00000000 00000000 00000000 00101000,00000000 00000000 00000000 00000000,1ASC,00000000 01000000,13,64260,1638,-410,0,2146,595,00100000 00000000 00000001 10011111,00000000 00000000 00000000 00000000,2,11,6,6,3,5,4,2,2,4,open_sans
0,4,888,400,5,1331,1229,0,154,1331,1229,0,717,102,709,00100000 00000000 00000010 00001111,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,newt,00000000 11000000,13,64260,1638,-410,0,2656,628,00100000 00000000 00000001 10010111,00000000 00000000 00000000 00000000,0,0,5,0,0,0,0,0,0,0,oswald
0,2,446,400,5,650,600,0,75,650,600,0,350,50,225,10000000 00000000 00000000 10101111,01010000 00000000 00100000 01001010,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,FBI\x00,00000000 01000000,32,64258,780,-220,200,936,264,00100000 00000000 00000000 00000001,00000000 00000000 00000000 00000000,2,0,5,3,5,0,0,2,0,4,poynter_gothic
0,3,1040,400,5,1434,1331,0,287,1434,1331,0,977,102,512,11100000 00000000 00001010 11111111,01010000 00000000 00100001 01111111,00000000 00000000 00000000 00100001,00000000 00000000 00000000 00000000,GOOG,00000000 01000000,2,64260,1638,-410,0,2163,595,00100000 00000000 00000001 10011111,00000000 00000000 00000000 00000000,2,0,0,0,0,0,0,0,0,0,roboto
0,1,822,400,5,1434,1331,0,293,1434,1331,0,928,102,530,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,HP  ,00000000 01000000,32,64258,1420,-442,307,1839,446,00000000 00000000 00000000 10010011,00000000 00000000 00000000 00000000,2,2,6,3,6,4,5,2,3,4,times
0,4,512,400,5,650,600,0,75,650,600,0,350,50,276,00000000 00000000 00000000 00000011,00000000 00000000 00000000 00000001,00000000 00000000 00000000 00000000,00000000 00000000 00000000 00000000,ADBE,00000001 11000000,32,64260,728,-272,200,864,252,00100000 00000000 00000000 00000001,00000000 00000000 00000000 00000000,2,4,6,3,6,5,6,2,2,4,utopia
